Experiment Type,Num Workers,Num Nodes,Original Time,Balanced Time,Original Speedup,Balanced Speedup,Original Load,Balanced Load
Workers,2,2000,0.17718195915222168,0.1714191436767578,1.0,1.0336182724511256,157.5,15.5
Workers,4,2000,0.19979023933410645,0.1679363250732422,1.0,1.1896785239701524,111.34406135937381,36.34900273735168
Workers,6,2000,0.21218609809875488,0.18068552017211914,1.0,1.1743392491917926,66.97117953932788,14.809906594348709
Workers,8,2000,0.21968364715576172,0.19971013069152832,1.0,1.1000125351431693,48.5225463058154,28.5
Nodes,6,1000,0.09925150871276855,0.09540057182312012,1.0,1.0403659728244434,36.2797770420688,29.670411748631555
Nodes,6,4000,0.4622538089752197,0.4355764389038086,1.0,1.0612461274042935,231.60166953917525,269.70256250585055
Nodes,6,10000,1.6563653945922852,1.6492226123809814,1.0,1.004330999440392,532.7855780914327,154.76972141432142
Nodes,6,20000,4.485320091247559,3.5780844688415527,1.0,1.2535534390834921,538.2563670470296,1197.0580140030345
